epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.84491,2.3174,4.35108,1.98643,0.00333,1,0.00512,0.00326,1.60102,4.80726,1.85824,0.0001,0.0001,0.0001
2,14.7718,1.80368,3.56007,1.57481,0.00333,1,0.49678,0.3308,1.3996,4.43995,1.43114,0.00021274,0.00021274,0.00021274
3,22.8364,1.73959,2.7838,1.51843,0.00333,1,0.5205,0.32957,1.39187,3.85746,1.36635,0.00031756,0.00031756,0.00031756
4,31.3904,1.65728,2.64828,1.43084,0.00333,1,0.46086,0.20868,1.4818,4.31935,1.49491,0.00041446,0.00041446,0.00041446
5,39.3566,1.54392,2.64204,1.45311,0.00333,1,0.56314,0.28331,1.43886,4.02981,1.46591,0.00050344,0.00050344,0.00050344
6,47.9196,1.73712,2.6254,1.53714,0.00333,1,0.995,0.55673,1.0074,3.76131,1.21904,0.0005845,0.0005845,0.0005845
7,56.3784,1.64548,2.35154,1.45384,0.00333,1,0.995,0.59473,1.14054,3.21957,1.1116,0.00065764,0.00065764,0.00065764
8,64.3798,1.72942,2.66539,1.58873,0.80828,1,0.995,0.5345,1.10037,3.30707,1.11592,0.00072286,0.00072286,0.00072286
9,72.3747,1.48224,2.2257,1.35444,0.90277,1,0.995,0.58431,1.21338,3.21579,1.11436,0.00078016,0.00078016,0.00078016
10,81.2328,1.7533,2.44249,1.53971,1,0.66038,0.995,0.60917,1.26317,3.35004,1.24312,0.00082954,0.00082954,0.00082954
11,89.1687,1.43665,2.31232,1.32561,1,0.47172,0.64621,0.20407,1.78145,3.59016,1.50948,0.000871,0.000871,0.000871
12,98.1057,1.44817,2.34882,1.35333,0.58446,0.75,0.63136,0.21841,1.57721,3.19335,1.56125,0.00090454,0.00090454,0.00090454
13,106.435,1.47121,2.31444,1.44957,1,0.43987,0.73806,0.25411,1.61492,3.50287,1.68755,0.00093016,0.00093016,0.00093016
14,115.113,1.69421,2.38253,1.51245,0.50971,0.25,0.49641,0.12001,1.40014,3.83503,1.49249,0.00094786,0.00094786,0.00094786
15,123.139,1.34151,2.10535,1.32969,0.50971,0.25,0.49641,0.12001,1.40014,3.83503,1.49249,0.00095764,0.00095764,0.00095764
16,132.026,1.62633,2.07666,1.46145,1,0.71081,0.82192,0.1878,1.42417,3.28026,1.43364,0.0009595,0.0009595,0.0009595
17,139.826,1.3687,1.87924,1.31261,1,0.74798,0.945,0.48535,1.43566,2.18446,1.30921,0.000944,0.000944,0.000944
18,148.415,1.3073,1.80322,1.26432,0.96357,0.75,0.91167,0.46564,1.64457,2.13911,1.514,0.000878,0.000878,0.000878
19,156.154,1.66846,2.14138,1.57007,0.96357,0.75,0.91167,0.46564,1.64457,2.13911,1.514,0.000812,0.000812,0.000812
20,163.345,1.4685,1.77782,1.34124,0.96925,0.75,0.82833,0.4204,1.73108,2.39641,1.62184,0.000746,0.000746,0.000746
